Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,739.0,Small Cap
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,47.0,Small Cap
360ONE,360 One Wam Limited,Financial Services,Asset Management,48562.0,Mid Cap
3BBLACKBIO,3B Blackbio Dx Limited,Healthcare,Biotechnology,,Unknown
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,506.0,Small Cap
3MINDIA,3M India Limited,Industrials,Conglomerates,37738.0,Mid Cap
3PLAND,3P Land Holdings Ltd,Unknown,Unknown,,Unknown
5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,1777.0,Small Cap
63MOONS,63 moons technologies limited,Technology,Software - Application,3612.0,Small Cap
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,286.0,Small Cap
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,119.0,Small Cap
AADHARHFC,,Financial Services,Mortgage Finance,20858.0,Mid Cap
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,89.0,Small Cap
AARNAV,Aarnav Fashions Limited,,,,Unknown
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,291.0,Small Cap
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,3814.0,Small Cap
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,19517.0,Mid Cap
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7625.0,Small Cap
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,457.0,Small Cap
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,221.0,Small Cap
AASTHA,Aastha Spintex Limited,Consumer Cyclical,Textile Manufacturing,,Unknown
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,10419.0,Small Cap
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,160033.0,Large Cap
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,56151.0,Large Cap
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,111329.0,Large Cap
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,Textile Manufacturing,448.0,Small Cap
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,Beverages - Wineries & Distilleries,17753.0,Mid Cap
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,6560.0,Small Cap
ABINFRA,A B Infrabuild Limited,Industrials,Engineering & Construction,786.0,Small Cap
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Apparel Retail,10340.0,Small Cap
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,52.0,Small Cap
ABMKNO,ABM Knowledgeware Limited,Technology,Software - Application,,Unknown
ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,15536.0,Mid Cap
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,28846.0,Mid Cap
ACC,ACC Limited,Basic Materials,Building Materials,24279.0,Mid Cap
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,1694.0,Small Cap
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,13757.0,Small Cap
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,18.0,Small Cap
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,6135.0,Small Cap
ACL,Andhra Cements Limited,Basic Materials,Building Materials,412.0,Small Cap
ACMESOLAR,,Utilities,Utilities - Renewable,28220.0,Mid Cap
ACSTECH,ACS Technologies Limited,Technology,Information Technology Services,,Unknown
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,26608.0,Mid Cap
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,192273.0,Large Cap
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,433224.0,Large Cap
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,217378.0,Large Cap
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,387733.0,Large Cap
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,394179.0,Large Cap
ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,3022.0,Small Cap
ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",43.0,Small Cap
ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,2729.0,Small Cap
ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,56.0,Small Cap
ADSL,Allied Digital Services Limited,Technology,Information Technology Services,608.0,Small Cap
ADVAIT,Advait Energy Transitions Limited,Industrials,Specialty Industrial Machinery,2254.0,Small Cap
ADVANCE,Advance Agrolife Limited,Basic Materials,Agricultural Inputs,761.0,Small Cap
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,462.0,Small Cap
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Lodging,740.0,Small Cap
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,3369.0,Small Cap
AEGISLOG,,Energy,Oil & Gas Refining & Marketing,46483.0,Mid Cap
AEGISVOPAK,,Energy,Oil & Gas Equipment & Services,29678.0,Mid Cap
AEPL,Artemis Electricals and Projects Limited,Industrials,Electrical Equipment & Parts,361.0,Small Cap
AEQUS,Aequs Limited,Industrials,Aerospace & Defense,16573.0,Mid Cap
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel,1592.0,Small Cap
AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,6515.0,Small Cap
AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,214.0,Small Cap
AEROPLANE,,Consumer Defensive,Farm Products,1847.0,Small Cap
AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals,21663.0,Mid Cap
AFCONS,Afcons Infrastructure Limited,Industrials,Engineering & Construction,10500.0,Small Cap
AFFLE,Affle 3i Limited,Communication Services,Advertising Agencies,24095.0,Mid Cap
AFIL,Akme Fintrade (India) Limited,Financial Services,Credit Services,416.0,Small Cap
AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,1024.0,Small Cap
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,706.0,Small Cap
AGARWALEYE,,Healthcare,Medical Instruments & Supplies,15924.0,Mid Cap
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,4711.0,Small Cap
AGIIL,AGI Infra Limited,Real Estate,Real Estate - Development,3535.0,Small Cap
AGL,Allcargo Global Limited,Industrials,Integrated Freight & Logistics,1381.0,Small Cap
AGROPHOS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,54.0,Small Cap
AHCL,Anlon Healthcare Limited,Healthcare,Drug Manufacturers - Specialty & Generic,798.0,Small Cap
AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment,49.0,Small Cap
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,242.0,Small Cap
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction,4358.0,Small Cap
AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,39647.0,Mid Cap
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,47361.0,Mid Cap
AIRAN,Airan Limited,Technology,Information Technology Services,187.0,Small Cap
AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",134.0,Small Cap
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,44211.0,Mid Cap
AJAXENGG,,Industrials,Farm & Heavy Construction Machinery,6466.0,Small Cap
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development,2303.0,Small Cap
AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,63.0,Small Cap
AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction,42.0,Small Cap
AKCAPIT,A. K. Capital Services Limited,Financial Services,Capital Markets,,Unknown
AKG,AKG Exim Limited,Industrials,Industrial Distribution,28.0,Small Cap
AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories,44.0,Small Cap
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,33.0,Small Cap
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,11467.0,Small Cap
ALANKIT,Alankit Limited,Technology,Information Technology Services,220.0,Small Cap
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,498.0,Small Cap
ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development,2421.0,Small Cap
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Capital Markets,1871.0,Small Cap
ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication,1142.0,Small Cap
ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,16451.0,Mid Cap
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,63477.0,Large Cap
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,10429.0,Small Cap
ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,1863.0,Small Cap
ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services,1242.0,Small Cap
ALLTIME,All Time Plastics Limited,Consumer Defensive,Household & Personal Products,1306.0,Small Cap
ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets,264.0,Small Cap
ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing,5621.0,Small Cap
ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,132.0,Small Cap
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,201.0,Small Cap
ALPINETEX,,Consumer Cyclical,Textile Manufacturing,213.0,Small Cap
AMAGI,Amagi Media Labs Limited,Technology,Software - Application,12636.0,Small Cap
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Healthcare,Drug Manufacturers - Specialty & Generic,352.0,Small Cap
AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",26109.0,Mid Cap
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,Household & Personal Products,42.0,Small Cap
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,941.0,Small Cap
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,100946.0,Large Cap
AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers,102.0,Small Cap
AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,160.0,Small Cap
AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals,1043.0,Small Cap
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1518.0,Small Cap
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management,35989.0,Mid Cap
ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate - Development,22035.0,Mid Cap
ANDHRAPAP,Andhra Paper Limited,Basic Materials,Paper & Paper Products,1187.0,Small Cap
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals,1327.0,Small Cap
ANGELONE,Angel One Limited,Financial Services,Capital Markets,26981.0,Mid Cap
ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution,131.0,Small Cap
ANMOL,Anmol India Limited,Energy,Thermal Coal,57.0,Small Cap
ANTELOPUS,,Energy,Oil & Gas E&P,2757.0,Small Cap
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers,11.0,Small Cap
ANTHEM,Anthem Biosciences Limited,Healthcare,Biotechnology,49318.0,Mid Cap
ANUHPHR,Anuh Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,779.0,Small Cap
ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery,3569.0,Small Cap
ANURAS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals,14254.0,Small Cap
APARINDS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,71049.0,Large Cap
APCL,Anjani Portland Cement Limited,Basic Materials,Building Materials,303.0,Small Cap
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,3201.0,Small Cap
APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products,1216.0,Small Cap
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,59433.0,Large Cap
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,15763.0,Mid Cap
APOLLO,Apollo Micro Systems Limited,Industrials,Aerospace & Defense,14392.0,Small Cap
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,125941.0,Large Cap
APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment,2892.0,Small Cap
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,27862.0,Mid Cap
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services,312.0,Small Cap
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,12608.0,Small Cap
AQYLON,Aqylon Nexus Limited,Communication Services,Broadcasting,639.0,Small Cap
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,230.0,Small Cap
ARCHIES,Archies Limited,Consumer Cyclical,Specialty Retail,46.0,Small Cap
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts,16857.0,Mid Cap
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining,12.0,Small Cap
ARFIN,Arfin India Limited,Basic Materials,Aluminum,1425.0,Small Cap
ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs,585.0,Small Cap
ARIHANT,Arihant Foundations & Housing Limited,Real Estate,Real Estate - Development,1064.0,Small Cap
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets,854.0,Small Cap
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate - Development,1090.0,Small Cap
ARIS,Arisinfra Solutions Limited,Industrials,Engineering & Construction,1164.0,Small Cap
ARKADE,Arkade Developers Limited,Real Estate,Real Estate - Development,2373.0,Small Cap
ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services,2014.0,Small Cap
AROGRANITE,Aro Granite Industries Limited,Industrials,Building Products & Equipment,38.0,Small Cap
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services,Financial Conglomerates,3385.0,Small Cap
ARTEMISMED,Artemis Medicare Services Limited,,,,Unknown
ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate - Development,105.0,Small Cap
ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals,183.0,Small Cap
ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,14140.0,Small Cap
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Retail,5852.0,Small Cap
ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate - Development,3126.0,Small Cap
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts,24256.0,Mid Cap
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts,781.0,Small Cap
ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,1455.0,Small Cap
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,5464.0,Small Cap
ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate - Development,3655.0,Small Cap
ASHIKAG,Ashika Global Securities Limited,Financial Services,Credit Services,,Unknown
ASHIMASYN,Ashima Limited,Real Estate,Real Estate - Development,353.0,Small Cap
ASHOKA,Ashoka Buildcon Limited,Industrials,Engineering & Construction,3175.0,Small Cap
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Steel,35.0,Small Cap
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,101183.0,Large Cap
ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services,2195.0,Small Cap
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging,1273.0,Small Cap
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,250398.0,Large Cap
ASIANTILES,Asian Granito India Limited,Industrials,Building Products & Equipment,1371.0,Small Cap
ASKAUTOLTD,,Consumer Cyclical,Auto Parts,11850.0,Small Cap
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products,206.0,Small Cap
ASTAR,Asian Star Company Limited,,,,Unknown
ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs,1337.0,Small Cap
ASTERDM,Aster DM Quality Care Limited,Healthcare,Medical Care Facilities,66417.0,Large Cap
ASTRAL,Astral Limited,Industrials,Building Products & Equipment,41050.0,Mid Cap
ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment,16234.0,Mid Cap
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,17861.0,Mid Cap
ATALREAL,Atal Realtech Limited,Industrials,Engineering & Construction,422.0,Small Cap
ATAM,Atam Valves Limited,Industrials,Specialty Industrial Machinery,63.0,Small Cap
ATGL,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas,70008.0,Large Cap
ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers,57902.0,Large Cap
ATL,Allcargo Terminals Limited,Industrials,Integrated Freight & Logistics,797.0,Small Cap
ATLANTAA,Atlantaa Limited,Industrials,Infrastructure Operations,308.0,Small Cap
ATLANTAELE,,Industrials,Electrical Equipment & Parts,13318.0,Small Cap
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Cyclical,Leisure,63.0,Small Cap
ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,19097.0,Mid Cap
ATULAUTO,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers,1340.0,Small Cap
AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,84937.0,Large Cap
AURIONPRO,Aurionpro Solutions Limited,Technology,Software - Application,3856.0,Small Cap
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,92676.0,Large Cap
AURUM,Aurum PropTech Limited,Real Estate,Real Estate Services,1790.0,Small Cap
AURUS,Aurus Gem Corporation Limited,Consumer Cyclical,Luxury Goods,13.0,Small Cap
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts,2592.0,Small Cap
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,Confectioners,1611.0,Small Cap
AVALON,Avalon Technologies Limited,Technology,Electronic Components,13914.0,Small Cap
AVANTEL,Avantel Limited,Technology,Communication Equipment,4195.0,Small Cap
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods,11522.0,Small Cap
AVL,Aditya Vision Limited,Consumer Cyclical,Specialty Retail,7428.0,Small Cap
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Capital Markets,383.0,Small Cap
AVROIND,Avro India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",12.0,Small Cap
AVTNPL,AVT Natural Products Limited,Basic Materials,Specialty Chemicals,1322.0,Small Cap
AWFIS,Awfis Space Solutions Limited,Industrials,Rental & Leasing Services,1945.0,Small Cap
AWHCL,Antony Waste Handling Cell Limited,Industrials,Waste Management,1078.0,Small Cap
AWL,AWL Agri Business Limited,Consumer Defensive,Packaged Foods,26243.0,Mid Cap
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,383230.0,Large Cap
AXISCADES,AXISCADES Technologies Limited,Industrials,Engineering & Construction,6839.0,Small Cap
AXITA,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing,315.0,Small Cap
AYE,Aye Finance Limited,Financial Services,Credit Services,4239.0,Small Cap
AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile Manufacturing,1510.0,Small Cap
AZAD,Azad Engineering Limited,Industrials,Specialty Industrial Machinery,18129.0,Mid Cap
BAGFILMS,B.A.G. Films and Media Limited,Communication Services,Broadcasting,95.0,Small Cap
BAIDFIN,Baid Finserv Limited,Financial Services,Credit Services,151.0,Small Cap
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,323252.0,Large Cap
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products,5981.0,Small Cap
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3856.0,Small Cap
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,319601.0,Large Cap
BAJAJHCARE,Bajaj HealthCare Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1077.0,Small Cap
BAJAJHFL,,Financial Services,Mortgage Finance,69844.0,Large Cap
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners,5361.0,Small Cap
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,124482.0,Large Cap
BAJAJINDEF,,Industrials,Farm & Heavy Construction Machinery,720.0,Small Cap
BAJAJST,Bajaj Steel Industries Limited,Industrials,Specialty Industrial Machinery,,Unknown
BAJEL,Bajel Projects Limited,Utilities,Utilities - Regulated Electric,2178.0,Small Cap
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,670988.0,Large Cap
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Consumer Cyclical,Packaging & Containers,215.0,Small Cap
BALAJITELE,Balaji Telefilms Limited,Communication Services,Entertainment,1168.0,Small Cap
BALAMINES,Balaji Amines Limited,Basic Materials,Specialty Chemicals,7282.0,Small Cap
BALAXI,Balaxi Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,124.0,Small Cap
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging & Containers,56.0,Small Cap
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,45451.0,Mid Cap
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,Industrials,Conglomerates,2996.0,Small Cap
BALPHARMA,Bal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,137.0,Small Cap
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,14153.0,Small Cap
BALUFORGE,Balu Forge Industries Limited,Industrials,Metal Fabrication,7068.0,Small Cap
BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories,73.0,Small Cap
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,Confectioners,4898.0,Small Cap
BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,Auto Parts,8802.0,Small Cap
BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks - Regional,27840.0,Mid Cap
BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing,48.0,Small Cap
BANKA,Banka BioLoo Limited,Industrials,Pollution & Treatment Controls,86.0,Small Cap
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,124345.0,Large Cap
BANKINDIA,Bank of India Limited,Financial Services,Banks - Regional,64916.0,Large Cap
BANSALWIRE,,Basic Materials,Steel,4985.0,Small Cap
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile Manufacturing,409.0,Small Cap
BASF,BASF India Limited,Basic Materials,Specialty Chemicals,16760.0,Mid Cap
BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories,8769.0,Small Cap
BATLIBOI,Batliboi Limited,Industrials,Specialty Industrial Machinery,408.0,Small Cap
BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,18359.0,Mid Cap
BBL,Bharat Bijlee Limited,Industrials,Electrical Equipment & Parts,2646.0,Small Cap
BBOX,Black Box Limited,Technology,Software - Application,13235.0,Small Cap
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,9929.0,Small Cap
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,Packaging & Containers,492.0,Small Cap
BCG,Brightcom Group Limited,Communication Services,Advertising Agencies,1833.0,Small Cap
BCLIND,BCL Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,1111.0,Small Cap
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories,198.0,Small Cap
BCPL,BCPL Railway Infrastructure Limited,Industrials,Infrastructure Operations,115.0,Small Cap
BDL,Bharat Dynamics Limited,Industrials,Aerospace & Defense,50461.0,Large Cap
BEARDSELL,Beardsell Limited,Industrials,Building Products & Equipment,105.0,Small Cap
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,Packaged Foods,7759.0,Small Cap
BEDMUTHA,Bedmutha Industries Limited,Basic Materials,Steel,348.0,Small Cap
BEEKAY,Beekay Steel Industries Limited,Basic Materials,Steel,,Unknown
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,299555.0,Large Cap
BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,Textile Manufacturing,296.0,Small Cap
BELRISE,Belrise Industries Limited,Consumer Cyclical,Auto Parts,22023.0,Mid Cap
BEML,BEML Limited,Industrials,Conglomerates,16048.0,Mid Cap
BENGALASM,Bengal & Assam Company Limited,Consumer Cyclical,Auto Parts,,Unknown
BEPL,Bhansali Engineering Polymers Limited,Basic Materials,Chemicals,3214.0,Small Cap
BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals,59466.0,Large Cap
BESTAGRO,Best Agrolife Limited,Basic Materials,Agricultural Inputs,626.0,Small Cap
BETA,Beta Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2282.0,Small Cap
BFINVEST,BF Investment Limited,Financial Services,Asset Management,1681.0,Small Cap
BFUTILITIE,BF Utilities Limited,Industrials,Infrastructure Operations,1947.0,Small Cap
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs,3633.0,Small Cap
BHARATCOAL,,Basic Materials,Coking Coal,,Unknown
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,97415.0,Large Cap
BHARATRAS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs,2119.0,Small Cap
BHARATSE,Bharat Seats Limited,Consumer Cyclical,Auto Parts,1399.0,Small Cap
BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,Steel,1285.0,Small Cap
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1205808.0,Large Cap
BHARTIHEXA,,Communication Services,Telecom Services,79965.0,Large Cap
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,143531.0,Large Cap
BI,Bilcare Limited,Consumer Cyclical,Packaging & Containers,,Unknown
BIGBLOC,Bigbloc Construction Limited,Industrials,Building Products & Equipment,616.0,Small Cap
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Packaged Foods,15081.0,Mid Cap
BIL,Bhartiya International Ltd.,Consumer Cyclical,Footwear & Accessories,1126.0,Small Cap
BIMETAL,Bimetal Bearings Limited,Consumer Cyclical,Auto Parts,239.0,Small Cap
BIOCON,Biocon Limited,Healthcare,Biotechnology,67517.0,Large Cap
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,53.0,Small Cap
