Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
FIRSTCRY,,Consumer Cyclical,Internet Retail,9382.0,Small Cap
FISCHER,Fischer Medical Ventures Limited,Healthcare,Medical Devices,2519.0,Small Cap
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Credit Services,14780.0,Small Cap
FLAIR,Flair Writing Industries Limited,Industrials,Business Equipment & Supplies,2656.0,Small Cap
FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials,Specialty Chemicals,50541.0,Large Cap
FMGOETZE,Federal-Mogul Goetze (India) Limited,Consumer Cyclical,Auto Parts,3041.0,Small Cap
FOODSIN,Foods and Inns Limited,Consumer Defensive,Packaged Foods,400.0,Small Cap
FORCEMOT,Force Motors Limited,Consumer Cyclical,Auto Manufacturers,22834.0,Mid Cap
FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities,68928.0,Large Cap
FOSECOIND,Foseco India Limited,Basic Materials,Chemicals,4141.0,Small Cap
FRACTAL,Fractal Analytics Limited,Technology,Software - Infrastructure,14185.0,Small Cap
FRONTSP,Frontier Springs Limited,Industrials,Metal Fabrication,,Unknown
FSL,Firstsource Solutions Limited,Technology,Information Technology Services,19062.0,Mid Cap
FUSION,Fusion Finance Limited,Financial Services,Credit Services,3226.0,Small Cap
GABRIEL,Gabriel India Limited,Consumer Cyclical,Auto Parts,24091.0,Mid Cap
GAEL,Gujarat Ambuja Exports Limited,Consumer Defensive,Packaged Foods,8145.0,Small Cap
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,114176.0,Large Cap
GALAPREC,,Industrials,Specialty Industrial Machinery,1372.0,Small Cap
GALAXYSURF,Galaxy Surfactants Limited,Basic Materials,Specialty Chemicals,8150.0,Small Cap
GALLANTT,Gallantt Ispat Limited,Basic Materials,Steel,14033.0,Small Cap
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil & Gas Refining & Marketing,2473.0,Small Cap
GANDHITUBE,Gandhi Special Tubes Limited,Industrials,Metal Fabrication,1086.0,Small Cap
GANECOS,Ganesha Ecosphere Limited,Consumer Cyclical,Textile Manufacturing,2809.0,Small Cap
GANESHCP,,Consumer Defensive,Packaged Foods,675.0,Small Cap
GANESHHOU,Ganesh Housing Limited,Real Estate,Real Estate - Development,6837.0,Small Cap
GANGESSECU,Ganges Securities Limited,Consumer Defensive,Packaged Foods,122.0,Small Cap
GARFIBRES,Garware Technical Fibres Limited,Consumer Cyclical,Textile Manufacturing,7768.0,Small Cap
GARUDA,Garuda Construction and Engineering Limited,Industrials,Engineering & Construction,1699.0,Small Cap
GATEWAY,Gateway Distriparks Limited,Industrials,Integrated Freight & Logistics,2648.0,Small Cap
GAYAHWS,Gayatri Highways Limited,Industrials,Infrastructure Operations,46.0,Small Cap
GCSL,Gretex Corporate Services Limited,Financial Services,Capital Markets,1189.0,Small Cap
GEEKAYWIRE,Geekay Wires Limited,Industrials,Electrical Equipment & Parts,236.0,Small Cap
GEMAROMA,,Basic Materials,Chemicals,897.0,Small Cap
GENCON,Generic Engineering Construction and Projects Limited,Industrials,Engineering & Construction,238.0,Small Cap
GENESYS,Genesys International Corporation Limited,Technology,Software - Application,1312.0,Small Cap
GENUSPAPER,Genus Paper & Boards Limited,Basic Materials,Paper & Paper Products,302.0,Small Cap
GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Electrical Equipment & Parts,9310.0,Small Cap
GEOJITFSL,Geojit Financial Services Limited,Financial Services,Capital Markets,2257.0,Small Cap
GESHIP,The Great Eastern Shipping Company Limited,Industrials,Marine Shipping,19242.0,Mid Cap
GFLLIMITED,GFL Limited,Financial Services,Asset Management,599.0,Small Cap
GHCL,GHCL Limited,Basic Materials,Chemicals,4061.0,Small Cap
GHCLTEXTIL,GHCL Textiles Limited,Consumer Cyclical,Textile Manufacturing,1195.0,Small Cap
GICHSGFIN,GIC Housing Finance Limited,Financial Services,Mortgage Finance,748.0,Small Cap
GICL,Globe International Carriers Limited,Industrials,Integrated Freight & Logistics,265.0,Small Cap
GICRE,General Insurance Corporation of India,Financial Services,Insurance - Reinsurance,61746.0,Large Cap
GILLANDERS,Gillanders Arbuthnot and Company Limited,Consumer Defensive,Farm Products,222.0,Small Cap
GILLETTE,Gillette India Limited,Consumer Defensive,Household & Personal Products,24149.0,Mid Cap
GIPCL,Gujarat Industries Power Company Limited,Utilities,Utilities - Regulated Electric,2920.0,Small Cap
GKENERGY,,Utilities,Utilities - Renewable,2562.0,Small Cap
GKSL,Gujarat Kidney And Super Speciality Limited,Healthcare,Medical Care Facilities,1210.0,Small Cap
GKWLIMITED,GKW Limited,Industrials,Specialty Business Services,955.0,Small Cap
GLAND,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,46123.0,Mid Cap
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,49975.0,Mid Cap
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,67613.0,Large Cap
GLOBAL,Global Education Limited,Consumer Defensive,Education & Training Services,548.0,Small Cap
GLOBALVECT,Global Vectra Helicorp Limited,Industrials,Airports & Air Services,210.0,Small Cap
GLOBE,Globe Enterprises (India) Limited,Consumer Cyclical,Textile Manufacturing,90.0,Small Cap
GLOBECIVIL,,Industrials,Engineering & Construction,263.0,Small Cap
GLOBUSSPR,Globus Spirits Limited,Consumer Defensive,Beverages - Wineries & Distilleries,2872.0,Small Cap
GLOSTERLTD,Gloster Limited,Consumer Cyclical,Textile Manufacturing,654.0,Small Cap
GMBREW,G.M. Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,2008.0,Small Cap
GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,Thermal Coal,17954.0,Mid Cap
GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Specialty Industrial Machinery,4471.0,Small Cap
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,103848.0,Large Cap
GMRP&UI,GMR Power And Urban Infra Limited,Energy,Thermal Coal,7515.0,Small Cap
GNA,G N A Axles Limited,Consumer Cyclical,Auto Parts,2364.0,Small Cap
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,Chemicals,8611.0,Small Cap
GNRL,Gujarat Natural Resources Limited,Energy,Oil & Gas E&P,,Unknown
GOACARBON,Goa Carbon Limited,Basic Materials,Specialty Chemicals,327.0,Small Cap
GOCLCORP,GOCL Corporation Limited,Basic Materials,Specialty Chemicals,1959.0,Small Cap
GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical,Apparel Retail,1792.0,Small Cap
GODAVARIB,,Basic Materials,Chemicals,1233.0,Small Cap
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,Tobacco,32511.0,Mid Cap
GODIGIT,Go Digit General Insurance Limited,Financial Services,Insurance - Property & Casualty,23917.0,Mid Cap
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,Packaged Foods,11978.0,Small Cap
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,94144.0,Large Cap
GODREJIND,Godrej Industries Limited,Industrials,Conglomerates,39065.0,Mid Cap
GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate - Development,60914.0,Large Cap
GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Apparel Manufacturing,5793.0,Small Cap
GOKUL,Gokul Refoils & Solvent Limited,Consumer Defensive,Packaged Foods,455.0,Small Cap
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,Packaged Foods,7440.0,Small Cap
GOLDIAM,Goldiam International Limited,Consumer Cyclical,Luxury Goods,5419.0,Small Cap
GOODLUCK,Goodluck India Limited,Basic Materials,Steel,4555.0,Small Cap
GOODYEAR,Goodyear India Limited,Consumer Cyclical,Auto Parts,1730.0,Small Cap
GOPAL,Gopal Snacks Limited,Consumer Defensive,Packaged Foods,3506.0,Small Cap
GOYALALUM,Goyal Aluminiums Limited,Basic Materials,Aluminum,92.0,Small Cap
GPIL,Godawari Power & Ispat Limited,Basic Materials,Steel,15981.0,Mid Cap
GPPL,Gujarat Pipavav Port Limited,Industrials,Marine Shipping,7936.0,Small Cap
GPTHEALTH,GPT Healthcare Limited,Healthcare,Medical Care Facilities,1230.0,Small Cap
GPTINFRA,GPT Infraprojects Limited,Industrials,Engineering & Construction,1438.0,Small Cap
GRANDOAK,Grand Oak Canyons Distillery Limited,Financial Services,Mortgage Finance,,Unknown
GRANULES,Granules India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,20978.0,Mid Cap
GRAPHITE,Graphite India Limited,Industrials,Electrical Equipment & Parts,13831.0,Small Cap
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,219218.0,Large Cap
GRAUWEIL,Grauer & Weil (India) Limited,Basic Materials,Specialty Chemicals,3127.0,Small Cap
GRAVISSHO,Graviss Hospitality Limited,Consumer Cyclical,Lodging,,Unknown
GRAVITA,Gravita India Limited,Industrials,Metal Fabrication,13204.0,Small Cap
GREAVESCOT,Greaves Cotton Limited,Industrials,Specialty Industrial Machinery,4430.0,Small Cap
GREENLAM,Greenlam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6357.0,Small Cap
GREENPANEL,Greenpanel Industries Limited,Basic Materials,Lumber & Wood Production,1914.0,Small Cap
