symbol,date,score_pct,verdict_text
PASHUPATI,2026-08-25 18:00,29,Avoid — both fundamentals and technicals are weak
BLAL,2026-08-26 14:48,21,Avoid — both fundamentals and technicals are weak
HEG,2026-09-08 19:35,44,Avoid — both fundamentals and technicals are weak
